Metadata	Example	Scope_possible	Category_when_printed	Gsheets_map
Microscope Stand manufacturer and Model	Leica DMI8; Nikon Ti2	YES	all_Stand	Manufacturer-Model
***Type	Compound; Stereo	MAYBE	all_Stand	
"***Commercial/commercial modified, custom modified"		MAYBE	all_Stand	
***Upright or inverted		MAYBE	all_Stand	
Scan unit Manufacturer and Model	Yokogawa CSU-W1 	YES	Sconfocal_Stand	Scan_unit_MF
Pinhole size	50 um; 100 um	YES	Sconfocal_Stand	Pinhole_diameter
***Pinhole spacing	253 um	MAYBE	Sconfocal_Stand	
***Number of disks	Single disk; dual disk	MAYBE	Sconfocal_Stand	
***Disk speed	500 rpm	MAYBE	Sconfocal_Stand	
Scan unit Manufacturer and Model	Zeiss LSM 780	YES	Pconfocal_Stand	Scan_unit_MF
Scanning mechanism (galvo vs resonant)	Galvo scanner; Resonant scanner	YES	Pconfocal_Stand	Scanning_mechanism_opts
Scan directionality	unidirectional; bidirectional	NO	Pconfocal_Stand	
Scan rate or pixel dwell	1.58 usec/pixel; 2 usec/pixel	NO	Pconfocal_Stand	
Averaging or sum integration number	no averaging; averaging of 4	NO	Pconfocal_Stand	
***Scan area	100 um x 100 um	NO	Pconfocal_Stand	
***Scan or frame size	1024 x1024 pixels; 900 x 900 pixels	NO	Pconfocal_Stand	
Actual pixel or voxel size	1.58 usec/pixel; 2 usec/pixel	NO	Pconfocal_Stand	
Pinhole diameter	123 um; 1 A.U. 	YES	Pconfocal_Stand	Pinhole_diameter
Scan unit Manufacturer and Model	Zeiss LSM 780	YES	Mphoton_Stand	Scan_unit_MF
Scanning mechanism (galvo vs resonant)	Galvo scanner; Resonant scanner	YES	Mphoton_Stand	Scanning_mechanism_opts
Scan directionality	unidirectional; bidirectional	NO	Mphoton_Stand	
Scan rate or pixel dwell	1.58 usec/pixel; 2 usec/pixel	NO	Mphoton_Stand	
Averaging or sum integration number	no averaging; averaging of 4	NO	Mphoton_Stand	
***Scan area	100 um x 100 um	NO	Mphoton_Stand	
***Scan or frame size	1024 x1024 pixels; 900 x 900 pixels	NO	Mphoton_Stand	
Actual pixel or voxel size	1.58 usec/pixel; 2 usec/pixel	NO	Mphoton_Stand	
Pinhole diameter if used	123 um; 1 A.U. 	NO	Mphoton_Stand	
Illumination Shutter Manufacturer and Model	LUDL MAC6000; Unibliz VMC-D1	YES	Zstack_multiPoint_timeLapse_Stand	Illumination_Shutter_MF
***Illumination Shutter speed	35 msec	NO	Zstack_multiPoint_timeLapse_Stand	
Stage Manufacturer and Model	Marzhauser; Prior; ASI (Applied Scientific Instrumentation)	YES	Zstack_multiPoint_timeLapse_Stand	Stage_MF
Linear encoded stage?	Linear encoded; manual stage	NO	Zstack_multiPoint_timeLapse_Stand	
***Stage precision and speed	"0.1 um precision, 25 mm/sec speed"	NO	Zstack_multiPoint_timeLapse_Stand	
Focusing device manufacterer and model	Mad City Labs Nano CZ-500 piezo; Nikon Ti Z drive	YES	Zstack_multiPoint_timeLapse_Stand	Stage_MF
Focusing device type 	"Nosepiece, piezo"	YES	Zstack_multiPoint_timeLapse_Stand	Focusing_Device_MF_opt
***Focusing device range	250 um; 500 um	NO	Zstack_multiPoint_timeLapse_Stand	
***Focusing device speed	380 Hz  20%; 2.5 mm/sec	NO	Zstack_multiPoint_timeLapse_Stand	
***Focusing device precision	0.4 nm	NO	Zstack_multiPoint_timeLapse_Stand	
